candidate_id,confidence,recommended_action,name,name_en,aliases,brand_name,brewery,beer_style,abv,ibu,country,origin_region,image_url,description,tasting_note,status,source,source_drink_count,source_tenant_count,public_visible_count,enabled_count,source_drink_ids,source_tenant_ids,source_names,source_brand_names,source_breweries,review_note
candidate_0355,exact_brand_name_match,create_product_then_link_source_drinks,阿罗哈POG西打,,,佳卡哈,佳卡哈,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/494bcf1f-8346-480f-a396-204b104c9313/drinks/b73ea8ab-168d-4857-b2ca-0c88c65d27ba/no-menu-beer-artwork__5_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,0,2,558647b4-cdd4-43e1-b137-6de18c2019f8|b73ea8ab-168d-4857-b2ca-0c88c65d27ba,7aa1147c-5c8b-4c68-bc11-56ce34608689|494bcf1f-8346-480f-a396-204b104c9313,阿罗哈POG西打,佳卡哈,佳卡哈,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0464,exact_brand_name_match,create_product_then_link_source_drinks,白拉格2026,,,Fever,Fever,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/7cce9b27-acd5-4bdc-a302-153c8245a1c1/drinks/a734c1a9-99c4-4060-a901-b410cd9cdccf/no-menu-beer-artwork__24_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,0,2,a734c1a9-99c4-4060-a901-b410cd9cdccf|b43a966c-5c24-4602-8073-d6cee91bec59,7cce9b27-acd5-4bdc-a302-153c8245a1c1|283206e3-22d9-4a54-b8a5-70694b1ec062,白拉格2026,Fever,Fever,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0431,exact_brand_name_match,create_product_then_link_source_drinks,白日梦,,,辉光,辉光,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/c3af90db-9734-4750-927c-38f6b37fb3e0/drinks/545fd669-0d8c-4aac-b24c-6a3cde97ff52/______.png,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,0,2,545fd669-0d8c-4aac-b24c-6a3cde97ff52|720a7dcc-769f-43d3-b427-7b18dc9401c8,c3af90db-9734-4750-927c-38f6b37fb3e0|283206e3-22d9-4a54-b8a5-70694b1ec062,白日梦,辉光,辉光,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0234,exact_brand_name_match,create_product_then_link_source_drinks,白天使,,,玄水屋,玄水屋,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/283206e3-22d9-4a54-b8a5-70694b1ec062/drinks/78f27fb8-ffcc-4ced-8f13-c98cd3cb3034/no-menu-beer-artwork_-_2026-06-07T193736.739.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,0,2,2408feaa-3bca-4eb8-8036-90c30ee5b25b|78f27fb8-ffcc-4ced-8f13-c98cd3cb3034,d897a73b-37fb-4c57-af0f-79d8759173cb|283206e3-22d9-4a54-b8a5-70694b1ec062,白天使,玄水屋,玄水屋,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0179,exact_brand_name_match,create_product_then_link_source_drinks,北地显影,,,蔓延,蔓延,,,,,,,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,0,2,4d1da7d9-8b21-4706-b535-355b9ff70102|60161074-2410-42f8-b5a4-8a3c65593fab,4d1da7d9-8b21-4706-b535-355b9ff79388|57d005da-1193-4bd2-955a-ef6b9653516d,北地显影,蔓延,蔓延,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0503,exact_brand_name_match,create_product_then_link_source_drinks,潮汐热吻,,,以及,以及,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/81a90487-39c9-46bb-b221-68ff631275d6/drinks/d367fdfd-b335-4c60-8700-3dbdf27cc269/no-menu-beer-artwork__60_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,1,0,2,c991c37a-8b4b-4ec5-a146-b0e32c9fe0f2|d367fdfd-b335-4c60-8700-3dbdf27cc269,81a90487-39c9-46bb-b221-68ff631275d6,潮汐热吻,以及,以及,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0350,exact_brand_name_match,create_product_then_link_source_drinks,从我的吧台滚出去,,,Liquid's Tag,Liquid's Tag,西海岸IPA,6.3,,上海,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/494bcf1f-8346-480f-a396-204b104c9313/drinks/0f5ddbd1-a1d8-485d-a08b-1bd59fc8afd8/no-menu-beer-artwork__2_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,1,2,816640be-c4d6-4579-98b7-93cbe3036852|0f5ddbd1-a1d8-485d-a08b-1bd59fc8afd8,7aa1147c-5c8b-4c68-bc11-56ce34608689|494bcf1f-8346-480f-a396-204b104c9313,从我的吧台滚出去,Liquid's Tag,Liquid's Tag,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0511,exact_brand_name_match,create_product_then_link_source_drinks,大师的疯狂,,,蔓延,蔓延,浑浊IPA,7,,武汉,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/da21ab4e-93f7-49ca-8318-15fcbae24a93/drinks/b42fb32a-927e-44de-af61-ad668be63819/no-menu-beer-artwork__65_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,1,2,b42fb32a-927e-44de-af61-ad668be63819|5cd36ffd-0d89-40c1-b503-8430d4a74f96,da21ab4e-93f7-49ca-8318-15fcbae24a93|494bcf1f-8346-480f-a396-204b104c9313,大师的疯狂,蔓延,蔓延,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0354,exact_brand_name_match,create_product_then_link_source_drinks,风暴中心 金桔芒果酸,,,云朴精酿,云朴精酿,水果酸艾尔,5,,昆明,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/494bcf1f-8346-480f-a396-204b104c9313/drinks/59e6b7d7-e251-4a9a-ad99-bbcb908732b7/no-menu-beer-artwork__4_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,1,2,3ba6d6d9-3265-486c-81bb-968519bbe479|59e6b7d7-e251-4a9a-ad99-bbcb908732b7,7aa1147c-5c8b-4c68-bc11-56ce34608689|494bcf1f-8346-480f-a396-204b104c9313,风暴中心 金桔芒果酸,云朴精酿,云朴精酿,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0424,exact_brand_name_match,create_product_then_link_source_drinks,浮柚,,,云泥,云泥,水果增味西打,7,,昆明,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/82bf1237-e90c-4379-a2bc-a6dad2726b93/drinks/11d1c95f-1951-4d54-83ed-6c52c5d06777/no-menu-beer-artwork__5_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,1,2,cf260c55-1df1-4b31-b071-d54709c396c2|11d1c95f-1951-4d54-83ed-6c52c5d06777,57d005da-1193-4bd2-955a-ef6b9653516d|82bf1237-e90c-4379-a2bc-a6dad2726b93,浮柚,云泥,云泥,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
