name,row_count,tenant_count,brand_or_brewery_values,drink_ids,note
下快攻,2,2,退界,c09f46e2-52b0-4892-aca2-46125657b75c|fd72100b-c9bf-478b-af09-0c7de8bc7714,Same name appears across multiple tenants. Review manually.
笑脸,2,2,欧米尼珀罗,b300865d-4265-4f48-bf2a-1328062371b2|da570bb8-80cb-4653-aa39-24f02bfb7685,Same name appears across multiple tenants. Review manually.
幸运,2,2,凯西,625c7605-6190-4ad8-b1c7-d815cc246a76|0a93a6c0-dcf5-4c27-8a7b-51337de9d0fe,Same name appears across multiple tenants. Review manually.
玄骥,2,2,狸造,cbe7c458-88f3-44f3-94b8-2e4a64fa48f5|4e208591-004f-4b8c-8ac0-d26731ba67e0,Same name appears across multiple tenants. Review manually.
业劫,2,2,本末·特伦,c8eb822f-58e9-4d1d-bcfd-eab18fb972ae|c72e93d8-ec7f-44a8-b69d-9492605e232e,Same name appears across multiple tenants. Review manually.
夜曲,2,2,彼岸|彼岸酿造,4a1649f8-1455-4337-94ac-dcc763350001|7944990f-d7e7-4889-879b-748f859e8c15,Same drink name with different brand/brewery values. Do not auto-merge.
一丛殊花,2,2,赤屿谷盗,4d1da7d9-8b21-4706-b535-355b9ff70107|d293b32a-da03-42f3-a99b-23dd828b82ad,Same name appears across multiple tenants. Review manually.
有限社交,2,2,TAPSTAR,058d1c8e-4117-4caf-8dd5-a42a972d154c|826fac7c-6a10-4ff9-8b72-8798099efc22,Same name appears across multiple tenants. Review manually.
玉米诱惑,2,2,美西,9a21a89d-58b1-4bdf-a347-a2eda08f0ac1|713f0c24-1fe7-48ed-b5a0-e0d704e473d9,Same name appears across multiple tenants. Review manually.
原始灵魂示意,2,2,凯西,fc162277-39d3-40ed-aa12-2bb52bcf44b7|84d83ea6-eabf-4db2-8ed6-daad85be0413,Same name appears across multiple tenants. Review manually.
长夏有风,2,2,赤屿谷盗,91439df4-d1b5-405c-b0d4-a879c5e8fa99|569be77d-646b-49a0-95e3-edc31914d3d6,Same name appears across multiple tenants. Review manually.
长相思,2,2,明日酿造|蔓延,44a4429c-fb70-47a5-923b-370fce8f0110|05debf0a-72c5-4ecb-a9f6-916ceb596893,Same drink name with different brand/brewery values. Do not auto-merge.
折射,2,2,Fever,cb6a4ae3-e071-44de-8fc8-0610ea588f19|ccefb5a0-df8c-4f8a-8354-26c6cd40fcb7,Same name appears across multiple tenants. Review manually.
中途乐园,2,2,蔓延,3367c327-a397-4548-b63f-95fa7033cbdb|a61d54c8-a639-476e-824f-f59a21c6874e,Same name appears across multiple tenants. Review manually.
Come back to 2016,2,2,明日|明日酿造,02f7db50-c0c8-4f0a-92e6-9c56901cc619|a211483d-b5ca-494d-9a5a-52c1ae24e46c,Same drink name with different brand/brewery values. Do not auto-merge.
Motu-Moment,2,1,Origin 4|Origin4,40a211f9-fe18-45c8-b651-1514d4078577|30cb5100-a304-4731-92ff-2fa280e53551,Same drink name with different brand/brewery values. Do not auto-merge.
